VANID	External ID	External ID Type 	
100905380	http://www.github.com/bijan-massoumi	GitHub	
100905397	http://www.linkedin.com/in/parsadormiani	LinkedIn URL	
100906320	http://www.github.com/oztheozoz	GitHub	
100907192	http://www.linkedin.com/in/darien-ryan-92675036	LinkedIn URL	
100907215	http://www.twitter.com/lillydeng	Twitter Handle	lillydeng
100907215	http://www.linkedin.com/in/lillydeng	LinkedIn URL	
100907286	http://www.linkedin.com/in/bradencasperson	LinkedIn URL	
100907286	http://www.github.com/casperson	GitHub	
100907611	http://www.linkedin.com/in/po-szeto-907306	LinkedIn URL	
100908441	http://www.linkedin.com/in/gordon-lam-b27b192b	LinkedIn URL	
100908744	http://www.linkedin.com/in/james-ni-a9234a2a	LinkedIn URL	
100909006	http://www.linkedin.com/in/eric-chan-13a03112	LinkedIn URL	
100911054	http://www.twitter.com/noizeeboy	Twitter Handle	noizeeboy
100911054	http://www.linkedin.com/in/pmispagel	LinkedIn URL	
100911054	http://www.github.com/atomiccc	GitHub	
100911318	http://www.twitter.com/310722	Twitter Handle	310722
100911420	http://www.twitter.com/andybillings	Twitter Handle	andybillings
100911420	http://www.linkedin.com/in/andy-billings-698277	LinkedIn URL	
100911748	http://www.linkedin.com/in/steven-ibara-4b2b4512	LinkedIn URL	
100911778	http://www.twitter.com/vongdarakia	Twitter Handle	vongdarakia
100911778	http://www.github.com/vongdarakia	GitHub	
100912663	http://www.twitter.com/rubyvrooom	Twitter Handle	rubyvrooom
100912663	http://www.linkedin.com/in/marcoslara	LinkedIn URL	
100912663	http://www.github.com/rubyvrooom	GitHub	
100912722	http://www.linkedin.com/in/jamie-liu-3126773	LinkedIn URL	
100913239	http://www.linkedin.com/in/michael-lin-07b9266	LinkedIn URL	
100913550	http://www.twitter.com/justinpmurphy1	Twitter Handle	justinpmurphy1
100913550	http://www.linkedin.com/in/justin-murphy-64b41	LinkedIn URL	
100913681	http://www.github.com/codemurp	GitHub	
100913839	http://hk.linkedin.com/in/herman-ng-a5874421	LinkedIn URL	
100914242	http://www.twitter.com/cxpbootcamp	Twitter Handle	cxpbootcamp
100914242	http://www.linkedin.com/in/meannietsai	LinkedIn URL	
100914483	http://www.linkedin.com/in/beilin-zhang-5685395	LinkedIn URL	
100914605	http://www.linkedin.com/in/keith-pastorino-48295a74	LinkedIn URL	
100914680	http://www.linkedin.com/in/david-bartz-5591bb3a	LinkedIn URL	
100914683	http://www.twitter.com/jkhaykin	Twitter Handle	jkhaykin
100914683	http://www.linkedin.com/in/khaykin	LinkedIn URL	
100914683	http://www.github.com/jkhaykin	GitHub	
100915010	http://www.linkedin.com/in/roshankalghatgi	LinkedIn URL	
100915512	http://www.twitter.com/thekupps	Twitter Handle	thekupps
100915512	http://www.linkedin.com/in/nathankupp	LinkedIn URL	
100915512	http://www.github.com/natekupp	GitHub	
100915529	http://www.linkedin.com/in/andrewsway	LinkedIn URL	
100915529	http://www.github.com/away168	GitHub	
100915678	http://www.linkedin.com/in/chris-freeman-97677620	LinkedIn URL	
100915962	http://www.linkedin.com/in/efannsaung	LinkedIn URL	
100916444	http://www.linkedin.com/in/elsie-ross-b9430287	LinkedIn URL	
100916701	http://www.twitter.com/d_tsang	Twitter Handle	d_tsang
100916701	http://www.linkedin.com/in/davidmtsang	LinkedIn URL	
100916837	http://www.linkedin.com/in/wendy-yee-a335862a	LinkedIn URL	
100917260	http://www.linkedin.com/in/bill-hickey-0b1aa1	LinkedIn URL	
100918740	http://www.github.com/jeff4eyp	GitHub	
100918750	http://www.linkedin.com/in/carla-ventura-a7a8413a	LinkedIn URL	
100920983	http://www.linkedin.com/in/davidtlai	LinkedIn URL	
100921287	http://www.twitter.com/meguno22	Twitter Handle	meguno22
100921287	http://www.linkedin.com/in/meghanuno	LinkedIn URL	
100921543	http://www.linkedin.com/in/lili-wangsa-aba29715	LinkedIn URL	
100921770	http://www.linkedin.com/in/paul-chen-a125503a	LinkedIn URL	
100922200	http://www.twitter.com/nicdahlquist	Twitter Handle	nicdahlquist
100922200	http://www.linkedin.com/in/nic-dahlquist-b6085433	LinkedIn URL	
100922200	http://www.github.com/ndahlquist	GitHub	
100922726	http://www.linkedin.com/in/zack-argyle-62b73452	LinkedIn URL	
100922726	http://www.github.com/zackargyle	GitHub	
100923129	http://www.linkedin.com/in/assaf-kremer-43101411	LinkedIn URL	
100923380	http://www.linkedin.com/in/peter-breger-5194131	LinkedIn URL	
100924514	http://www.twitter.com/dustin520	Twitter Handle	dustin520
100924514	http://www.linkedin.com/in/dustin520	LinkedIn URL	
100924514	http://www.github.com/dustin520	GitHub	
