VANID,External ID,External ID Type ,handle
100709903,http://www.twitter.com/jennifereu,Twitter Handle,jennifereu
100711235,http://www.twitter.com/hunvanich,Twitter Handle,hunvanich
100712091,http://www.twitter.com/mituzas,Twitter Handle,mituzas
100715972,http://www.twitter.com/marcsimon42,Twitter Handle,marcsimon42
100719270,http://www.twitter.com/laurnnicol,Twitter Handle,laurnnicol
100719377,http://www.twitter.com/entervr,Twitter Handle,entervr
100719826,http://www.twitter.com/masonng,Twitter Handle,masonng
100720773,http://www.twitter.com/thisismichaeld,Twitter Handle,thisismichaeld
100724774,http://www.twitter.com/chenny408,Twitter Handle,chenny408
100726841,http://www.twitter.com/brownday,Twitter Handle,brownday
100727283,http://www.twitter.com/zhencao,Twitter Handle,zhencao
100732957,http://www.twitter.com/patrickhouston,Twitter Handle,patrickhouston
100733049,http://www.twitter.com/mishachellam,Twitter Handle,mishachellam
100733555,http://www.twitter.com/ericbahn,Twitter Handle,ericbahn
100743541,http://www.twitter.com/sponselli,Twitter Handle,sponselli
100746818,http://www.twitter.com/michaelfujinaka,Twitter Handle,michaelfujinaka
100749439,http://www.twitter.com/margotleong,Twitter Handle,margotleong
100750398,http://www.twitter.com/btrahan,Twitter Handle,btrahan
101349452,http://www.twitter.com/mrdonut,Twitter Handle,mrdonut
100721670,http://www.twitter.com/enlai,Twitter Handle,enlai
100913158,http://www.twitter.com/erenbali,Twitter Handle,erenbali
100779661,http://www.twitter.com/joe_ballou,Twitter Handle,joe_ballou
100654062,http://www.twitter.com/satur9nine,Twitter Handle,satur9nine
100736296,http://www.twitter.com/mldunham,Twitter Handle,mldunham
100893819,http://www.twitter.com/0jenzee0,Twitter Handle,0jenzee0
100976985,http://www.twitter.com/tetelobcn,Twitter Handle,tetelobcn
